Settlement Point,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
LZ_AEN,13.783311827956988,14.916885057471266,18.824452220726783,17.161166666666666,15.0424623655914,15.066855555555556,17.606322580645163,31.234580645161294,15.49712222222222,20.659451612903226,19.70536477115118,21.626784946236562
LZ_CPS,14.243763440860215,15.6592183908046,19.569356662180354,17.31651111111111,15.915956989247313,15.657788888888888,18.1846559139785,31.213021505376346,15.398022222222222,21.116666666666664,19.274685159500695,16.674344086021502
LZ_HOUSTON,13.779279569892473,14.205390804597702,19.36034454912517,16.746266666666667,15.845365591397854,15.80273333333333,19.25725806451613,32.04944086021506,16.056700000000003,20.263311827956993,20.318224687933427,16.95561290322581
LZ_NORTH,13.752354838709678,14.316712643678162,18.798029609690442,16.19037777777778,14.793107526881721,15.551733333333335,18.676698924731184,31.64022580645161,15.292577777777778,19.310763440860214,19.303012482662968,16.900989247311827
LZ_SOUTH,14.022827956989246,15.363241379310347,18.751838492597578,17.27874444444445,16.082537634408602,15.385955555555558,20.01135483870968,53.13487096774194,16.0529,23.118344086021505,21.347961165048545,16.614752688172043
LZ_WEST,18.77263440860215,42.72462068965517,53.3714993270525,17.75907777777778,15.351473118279571,14.964855555555557,18.31669892473118,30.968000000000004,16.305311111111113,19.4717311827957,23.736488210818308,20.608709677419355
