1	1	107	12.208	0	840	0	2430	1215	7290
2	2	100	19.495	417.9	48.3	0	304.6	684	4104
3	3	100	38.5	254.1	42.7	0	236	108	648
4	4	100	33.691	383.6	32.2	0	176.4	448.6	2691.6
5	5	100	23.954	221.2	25.9	0	380.7	767.6	4605.6
6	6	100	13.419	960.4	217	0	842.5	513.4	3080.4
7	7	100	31.346	34.3	41.3	0	177.3	419.5	2517
8	8	100	23.002	304.5	43.4	0	381.8	830.5	4983
9	10	62	16.548	238	42.7	0	92.7	181	1086
10	11	62	37.303	1490.3	48.3	0	678.1	1773.4	10640.4
11	12	62	23.198	289.1	8.4	0	260	633.5	3801
12	13	62	26.236	2175.6	49	0	497.9	208.7	1252.2
13	14	110	16.779	353.5	8.4	0	22	35.2	211.2
14	15	110	30.702	85.4	30.8	0	50.1	77	462
15	16	110	32.991	225.4	53.2	0	203.2	539.5	3237
16	18	32	35.532	2161.6	52.5	0	432	291.1	1746.6
17	25	100	20.454	1407	26.6	0	914.6	2427.3	14563.8
18	26	100	13.251	1303.4	252	0	1530	405.7	2434.2
19	27	100	33.334	2352.7	40.6	0	535.5	310.5	1863
20	28	100	37.184	190.4	23.1	0	25.7	26.6	159.6
21	44	17	32.312	390.6	24.5	0	108	193.4	1160.4
22	45	61	20.517	158.2	9.8	0	54.9	118	708
23	47	61	31.269	9.1	30.8	0	60	64.9	389.4
24	48	61	16.569	206.5	24.5	0	44	121.1	726.6
25	49	79	19.845	1379.7	4.9	0	639	1442	8652
26	50	79	29.939	1927.1	31.5	0	595	722.1	4332.6
27	51	91	37.828	164.5	41.3	0	242	464.3	2785.8
28	54	59	36.603	1271.9	32.2	0	1152.8	529	3174
29	60	71	39.235	312.9	11.2	0	201.6	279.7	1678.2
30	61	71	30.233	116.2	38.5	0	201	452.5	2715
31	62	71	29.729	319.2	17.5	0	283.2	591.3	3547.8
32	66	112	35.917	217.7	42.7	0	24.9	20.2	121.2
33	70	57	36.666	18.9	28.7	0	191.1	203.1	1218.6
34	71	57	20.86	2319.1	22.4	0	861	1479.6	8877.6
35	72	57	18.837	581.7	52.5	0	450	540.5	3243
36	73	57	26.159	214.2	46.2	0	56	106.8	640.8
37	75	98	16.597	312.9	24.5	0	114	197	1182
38	76	44	23.625	500.5	41.3	0	453.5	1342.8	8056.8
39	85	91	23.464	12.6	53.9	0	168	229.7	1378.2
40	93	111	12.208	0	840	0	2708.6	1354.3	8125.8
41	94	91	28.742	153.3	49.7	0	63.1	67.2	403.2
42	98	19	16.387	59.5	38.5	0	150	71	426
43	100	36	39.725	622.3	4.9	0	618.7	526.7	3160.2
44	105	74	23.128	34.3	32.9	0	249	185.5	1113
45	107	120	37.926	133.7	36.4	0	150	138.5	831
46	108	94	31.451	108.5	43.4	0	169.5	312	1872
47	112	82	35.154	230.3	39.2	0	250	159.2	955.2
48	114	30	31.92	221.9	54.6	0	165.6	75.5	453
49	118	93	16.744	214.2	49.7	0	225	242.8	1456.8
50	121	53	25.928	1295	5.6	0	1097.4	1192.9	7157.4
51	122	81	21.217	240.1	14.7	0	243.3	678.3	4069.8
52	124	98	34.258	74.9	4.2	0	44	82	492
53	129	48	26.558	249.9	35.7	0	126.5	358.1	2148.6
54	130	48	17.262	350.7	9.8	0	209	604.1	3624.6
55	137	85	37.52	56	16.8	0	200	396.2	2377.2
56	138	85	24.703	135.8	25.2	0	201.6	598.3	3589.8
57	144	62	36.54	413	52.5	0	52.1	38.3	229.8
58	147	75	35.994	371.7	15.4	0	181.7	105.1	630.6
59	148	83	33.376	292.6	4.9	0	13.9	6.4	38.4
60	149	52	39.872	26.6	17.5	0	10	1.9	11.4
