Year,NG,Solar,Wind
2021,1661000,1391600.0,1433083.4
2022,1661000,1363768.0,1404421.7319999998
2023,1661000,1336492.64,1376333.2973599997
2024,1661000,1309762.7872,1348806.6314127997
2025,1661000,1283567.531456,1321830.4987845437
2026,1661000,1257896.1808268798,1295393.8888088528
2027,1661000,1232738.2572103422,1269486.0110326756
2028,1661000,1208083.4920661354,1244096.290812022
2029,1661000,1183921.8222248126,1219214.3649957816
2030,1661000,1160243.3857803163,1194830.0776958659
2031,1661000,1137038.51806471,1170933.4761419485
2032,1661000,1114297.7477034158,1147514.8066191096
2033,1661000,1092011.7927493474,1124564.5104867273
2034,1661000,1070171.5568943603,1102073.2202769928
2035,1661000,1048768.125756473,1080031.7558714529
2036,1661000,1027792.7632413435,1058431.1207540238
2037,1661000,1007236.9079765166,1037262.4983389432
2038,1661000,987092.1698169863,1016517.2483721643
2039,1661000,967350.3264206465,996186.9034047211
2040,1661000,948003.3198922336,976263.1653366266
2041,1661000,929043.2534943889,956737.9020298941
2042,1661000,910462.388424501,937603.1439892962
2043,1661000,892253.1406560111,918851.0811095103
2044,1661000,874408.0778428909,900474.05948732
2045,1661000,856919.916286033,882464.5782975736
2046,1661000,839781.5179603123,864815.2867316221
2047,1661000,822985.8876011061,847518.9809969896
2048,1661000,806526.169849084,830568.6013770498
2049,1661000,790395.6464521023,813957.2293495088
2050,1661000,774587.7335230603,797678.0847625185
