Year,NG,Solar,Wind
2021,1661000,1405800.0,1447706.7
2022,1661000,1391742.0,1433229.633
2023,1661000,1377824.58,1418897.3366699999
2024,1661000,1364046.3342000002,1404708.3633032998
2025,1661000,1350405.8708580001,1390661.2796702667
2026,1661000,1336901.8121494201,1376754.666873564
2027,1661000,1323532.794027926,1362987.1202048284
2028,1661000,1310297.4660876465,1349357.24900278
2029,1661000,1297194.49142677,1335863.6765127522
2030,1661000,1284222.5465125025,1322505.0397476247
2031,1661000,1271380.3210473775,1309279.9893501485
2032,1661000,1258666.5178369037,1296187.189456647
2033,1661000,1246079.8526585347,1283225.3175620805
2034,1661000,1233619.0541319493,1270393.0643864595
2035,1661000,1221282.8635906298,1257689.1337425949
2036,1661000,1209070.0349547234,1245112.242405169
2037,1661000,1196979.3346051762,1232661.1199811173
2038,1661000,1185009.5412591244,1220334.5087813062
2039,1661000,1173159.4458465332,1208131.1636934932
2040,1661000,1161427.851388068,1196049.8520565582
2041,1661000,1149813.5728741873,1184089.3535359926
2042,1661000,1138315.4371454453,1172248.4600006326
2043,1661000,1126932.2827739909,1160525.9754006262
2044,1661000,1115662.959946251,1148920.71564662
2045,1661000,1104506.3303467885,1137431.5084901536
2046,1661000,1093461.2670433207,1126057.193405252
2047,1661000,1082526.6543728875,1114796.6214711994
2048,1661000,1071701.3878291585,1103648.6552564874
2049,1661000,1060984.3739508667,1092612.1687039225
2050,1661000,1050374.530211358,1081686.0470168833
