Year,NG,Solar,Wind
2021,1661000,1398700.0,1440395.05
2022,1661000,1377719.5,1418789.12425
2023,1661000,1357053.7075,1397507.28738625
2024,1661000,1336697.9018875,1376544.6780754563
2025,1661000,1316647.4333591873,1355896.5079043244
2026,1661000,1296897.7218587995,1335558.0602857596
2027,1661000,1277444.2560309174,1315524.6893814732
2028,1661000,1258282.5921904535,1295791.819040751
2029,1661000,1239408.3533075966,1276354.9417551397
2030,1661000,1220817.2280079827,1257209.6176288126
2031,1661000,1202504.969587863,1238351.4733643804
2032,1661000,1184467.395044045,1219776.2012639146
2033,1661000,1166700.3841183844,1201479.558244956
2034,1661000,1149199.8783566086,1183457.3648712817
2035,1661000,1131961.8801812595,1165705.5043982125
2036,1661000,1114982.4519785405,1148219.9218322393
2037,1661000,1098257.7151988624,1130996.6230047557
2038,1661000,1081783.8494708794,1114031.6736596844
2039,1661000,1065557.0917288163,1097321.1985547892
2040,1661000,1049573.735352884,1080861.3805764674
2041,1661000,1033830.1293225908,1064648.4598678204
2042,1661000,1018322.677382752,1048678.732969803
2043,1661000,1003047.8372220107,1032948.551975256
2044,1661000,988002.1196636806,1017454.323695627
2045,1661000,973182.0878687253,1002192.5088401926
2046,1661000,958584.3565506944,987159.6212075896
2047,1661000,944205.591202434,972352.2268894758
2048,1661000,930042.5073343975,957766.9434861337
2049,1661000,916091.8697243816,943400.4393338417
2050,1661000,902350.4916785159,929249.432743834
