Settlement Zone,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
LZ_AEN,1032638.0536227896,1008827.5299542866,1046117.8673815242,995610.5710176425,1192694.9934081966,1231567.6137840964,1519438.9993150341,1553004.0138911542,1205237.8070364203,1160093.7798464084,992236.7520658693,1077744.9718967415
LZ_CPS,1725061.5648090218,1700708.8386447558,1734184.1733403977,1697619.5213827745,2142772.924420423,2367344.745579075,2796203.2112535606,2780366.981325026,2169786.153705534,2040111.108140892,1671224.7740319937,1858015.5954288396
LZ_HOUSTON,7631992.851807056,7228148.88796657,8258675.856586845,7723582.810658846,9101969.789227229,9941947.627896374,10899747.305858718,11174624.38594937,9753432.27270597,9178413.125507262,7991543.201117234,8129915.133481789
LZ_NORTH,10381177.00480636,10083880.98539945,9125976.165508268,8736576.847244073,10335211.427446911,12678480.732928947,14528985.896068566,14654376.923434744,10868726.313639145,10176069.840924313,8919689.7627381,10714875.840064745
LZ_SOUTH,3771796.6144665945,3643617.2643798087,3918400.541377088,3888345.411778294,4505382.159988973,4780202.545902312,5392329.578357631,5473410.498341921,4517599.23979845,4482988.990753311,3820055.7289991844,3951546.0190410865
LZ_WEST,4047627.1875393395,3841638.686900873,3817869.395361326,3585814.9736004975,3559823.270310256,3939784.554256567,4397550.865541663,4422112.844760378,3832785.118010931,3816127.3379129614,3608590.570832221,3983807.0675389925
